Layer #,Pass #,Time(ms),Reading
63,1,572227,241.0
63,1,572244,240.0
63,1,572260,239.0
63,1,572277,240.0
63,1,572294,240.0
63,1,572311,240.0
63,1,572327,239.0
63,1,572343,238.0
63,1,572361,238.0
63,1,572378,238.0
63,1,572394,240.0
63,1,572411,239.0
63,1,572427,240.0
63,1,572444,239.0
63,1,572460,239.0
63,1,572477,239.0
63,1,572494,239.0
63,1,572511,240.0
63,1,572527,239.0
63,1,572543,239.0
63,1,572561,239.0
63,1,572577,239.0
63,1,572594,237.0
63,1,572611,238.0
63,1,572627,239.0
63,1,572644,239.0
63,1,572660,238.0
63,1,572677,239.0
63,1,572694,237.0
63,1,572710,238.0
63,1,572727,239.0
63,1,572744,238.0
63,1,572761,239.0
63,1,572777,238.0
63,1,572793,236.0
63,1,572811,238.0
63,1,572827,238.0
63,1,572845,236.0
63,1,572860,239.0
63,1,572878,237.0
63,1,572894,238.0
63,1,572910,237.0
63,1,572927,238.0
63,1,572945,239.0
63,1,572961,239.0
63,1,572977,239.0
63,1,572994,237.0
63,1,573011,239.0
63,1,573027,240.0
63,1,573044,239.0
63,1,573061,238.0
63,1,573078,236.0
63,1,573094,237.0
63,1,573111,239.0
63,1,573128,238.0
63,1,573144,238.0
63,1,573160,238.0
63,1,573178,240.0
63,1,573193,237.0
63,1,573211,237.0
63,1,573228,237.0
63,1,573243,237.0
63,1,573261,238.0
63,1,573278,237.0
63,1,573293,236.0
63,1,573311,237.0
63,1,573327,239.0
63,1,573344,239.0
63,1,573360,239.0
63,1,573377,239.0
63,1,573393,239.0
63,1,573410,239.0
63,1,573427,239.0
63,1,573443,239.0
63,1,573461,239.0
63,1,573477,239.0
63,1,573494,239.0
63,1,573511,239.0
63,1,573527,239.0
63,1,573544,239.0
63,1,573561,239.0
63,1,573577,239.0
63,1,573594,239.0
63,1,573611,239.0
63,1,573627,239.0
63,1,573644,239.0
63,1,573660,239.0
63,1,573678,239.0
63,1,573693,239.0
63,1,573711,239.0
63,1,573728,239.0
63,1,573744,239.0
63,1,573760,239.0
63,1,573778,239.0
